joueur_action_cible
[(2, 0), 'dribble vers', (1, 3)]
[(2, 0), 'tire vers', 'CageAdverse']
[(1, 3), 'tire vers', (1, 1)]
[(2, 1), 'dribble vers', (1, 1)]
[(2, 1), 'se deplace vers', (1, 3)]
[(2, 1), 'tire vers', 'CageAdverse']
[(1, 1), 'se deplace vers', (2, 3)]
[(1, 1), 'dribble vers', (2, 3)]
[(1, 1), 'dribble vers', 'CageAdverse']
[(1, 1), 'tire vers', 'CageAdverse']
[(2, 0), 'dribble vers', (1, 3), (1, 1), 0.5]
[(2, 0), 'dribble vers', 'CageAdverse']
[(2, 0), 'dribble vers', 'CageAdverse']
[(1, 2), 'dribble vers', (2, 3)]
[(2, 0), 'dribble vers', (1, 3)]
[(2, 0), 'tire vers', 'CageAdverse']
[(1, 0), 'dribble vers', (2, 0), (2, 2), 0.5]
[(1, 0), 'tire vers', 'CageAdverse']
[(2, 0), 'dribble vers', (1, 3), (1, 2), 0.5]
[(2, 0), 'dribble vers', (1, 3)]
[(1, 3), 'tire vers', (1, 1)]
[(1, 3), 'tire vers', (1, 1)]
[(1, 3), 'tire vers', (1, 1)]
[(2, 2), 'se deplace vers', (2, 0)]
[(2, 2), 'tire vers', 'CageAdverse']
[(1, 1), 'se deplace vers', (1, 0)]
[(2, 2), 'se deplace vers', (2, 0), (2, 1), 0.5]
[(2, 2), 'dribble vers', (1, 3)]
[(1, 3), 'se deplace vers', 'SaCage']
[(1, 3), 'tire vers', (1, 2)]
[(1, 3), 'se deplace vers', 'SaCage']
[(2, 3), 'se deplace vers', 'SaCage']
[(2, 3), 'tire vers', (2, 0)]
[(2, 3), 'se deplace vers', 'SaCage']
[(2, 3), 'tire vers', (2, 1)]
[(2, 3), 'se deplace vers', 'SaCage']
[(2, 3), 'tire vers', (1, 3)]
[(1, 1), 'se deplace vers', (1, 3)]
[(1, 1), 'tire vers', (1, 0)]
[(1, 1), 'tire vers', 'CageAdverse']
[(1, 1), 'se deplace vers', (1, 3)]
[(2, 3), 'se deplace vers', 'SaCage']
[(2, 3), 'tire vers', (2, 2)]
[(2, 3), 'se deplace vers', 'SaCage']
[(1, 1), 'se deplace vers', (1, 3)]
[(1, 1), 'tire vers', (1, 2)]
[(2, 1), 'se deplace vers', (2, 3)]
[(2, 1), 'se deplace vers', (2, 2)]
[(2, 1), 'tire vers', (2, 2)]
[(2, 1), 'tire vers', (2, 2)]
[(1, 0), 'dribble vers', (2, 2), 'CageAdverse', 0.5]
[(1, 0), 'tire vers', 'CageAdverse', 'CageAdverse', 0.5]
[(1, 0), 'tire vers', 'CageAdverse', 'CageAdverse', 0.5]
[(1, 0), 'dribble vers', 'CageAdverse']
[(2, 2), 'se deplace vers', (2, 3)]
[(1, 1), 'se deplace vers', (2, 3)]
[(2, 0), 'dribble vers', (1, 3)]
[(2, 0), 'tire vers', 'CageAdverse']
[(2, 0), 'dribble vers', 'CageAdverse']
[(1, 0), 'se deplace vers', (2, 2), 'CageAdverse', 0.5]
[(1, 0), 'dribble vers', (2, 2), 'CageAdverse', 0.5]
[(2, 1), 'se deplace vers', (2, 3)]
[(2, 1), 'tire vers', (2, 2)]
[(2, 1), 'tire vers', (2, 0)]
[(2, 1), 'tire vers', (2, 0)]
[(1, 0), 'se deplace vers', 'CageAdverse']
[(1, 0), 'dribble vers', 'CageAdverse']
[(2, 2), 'dribble vers', (1, 3)]
[(2, 2), 'tire vers', (2, 0)]
[(1, 1), 'se deplace vers', (2, 3)]
[(1, 1), 'se deplace vers', (1, 3)]
[(2, 2), 'se deplace vers', (2, 3)]
[(1, 0), 'dribble vers', (2, 2)]
[(1, 0), 'dribble vers', 'CageAdverse']
[(1, 0), 'tire vers', 'CageAdverse']
[(2, 2), 'se deplace vers', (2, 3)]
[(2, 2), 'se deplace vers', (2, 0)]
[(2, 2), 'tire vers', (2, 0)]
[(1, 3), 'se deplace vers', 'SaCage']
[(1, 3), 'tire vers', (1, 1)]
[(2, 2), 'se deplace vers', (1, 2)]
[(2, 2), 'se deplace vers', (1, 2)]
[(2, 2), 'tire vers', (2, 0)]
[(2, 2), 'tire vers', (2, 0)]
[(1, 3), 'se deplace vers', 'CageAdverse']
[(1, 3), 'se deplace vers', 'SaCage']
[(1, 3), 'tire vers', (1, 1)]
[(1, 3), 'tire vers', (1, 1)]
[(1, 3), 'tire vers', (1, 1)]
[(2, 2), 'se deplace vers', 'CageAdverse']
[(1, 0), 'dribble vers', (2, 2)]
[(1, 0), 'dribble vers', 'CageAdverse']
[(2, 3), 'se deplace vers', 'SaCage']
[(1, 3), 'se deplace vers', 'SaCage']
[(2, 0), 'dribble vers', (1, 2)]
[(2, 0), 'dribble vers', (1, 3)]
[(2, 0), 'tire vers', 'CageAdverse']
[(1, 0), 'dribble vers', (2, 2)]
[(1, 0), 'dribble vers', 'CageAdverse']
[(1, 0), 'tire vers', 'CageAdverse']
[(2, 0), 'dribble vers', (1, 2)]
[(2, 0), 'dribble vers', (1, 3)]
[(2, 0), 'tire vers', (1, 3)]
[(1, 3), 'dribble vers', 'SaCage']
[(1, 3), 'se deplace vers', 'SaCage']
[(1, 3), 'tire vers', (1, 1)]
[(1, 3), 'se deplace vers', 'SaCage']
[(2, 0), 'dribble vers', (1, 2)]
[(2, 0), 'dribble vers', (1, 3)]
[(2, 0), 'tire vers', 'CageAdverse']
[(1, 0), 'dribble vers', (2, 2)]
[(1, 0), 'dribble vers', (2, 3)]
[(1, 0), 'tire vers', 'CageAdverse']
[(2, 1), 'se deplace vers', (2, 3)]
[(2, 1), 'se deplace vers', 'Balle']
[(2, 1), 'tire vers', (2, 0)]
[(2, 1), 'tire vers', (2, 0)]
[(1, 2), 'se deplace vers', (1, 3)]
[(1, 2), 'tire vers', (1, 0)]
[(2, 2), 'se deplace vers', (2, 3)]
[(2, 2), 'dribble vers', (1, 3)]
[(2, 2), 'tire vers', (2, 1)]
[(1, 1), 'se deplace vers', (2, 3)]
[(1, 1), 'se deplace vers', 'SaCage']
[(1, 1), 'tire vers', (1, 2)]
[(1, 1), 'tire vers', (1, 2)]
[(2, 0), 'dribble vers', (1, 0)]
[(1, 2), 'se deplace vers', (1, 3)]
[(2, 1), 'dribble vers', (1, 0)]
[(2, 1), 'tire vers', (2, 0)]
[(1, 0), 'dribble vers', (2, 2)]
[(1, 0), 'dribble vers', (2, 3)]
[(1, 0), 'tire vers', 'CageAdverse']
[(1, 0), 'tire vers', 'CageAdverse']
[(2, 1), 'dribble vers', 'CageAdverse']
[(1, 1), 'se deplace vers', (2, 3)]
[(1, 1), 'se deplace vers', 'SaCage']
[(1, 1), 'tire vers', (1, 0)]
[(2, 3), 'se deplace vers', 'SaCage']
[(1, 2), 'se deplace vers', (1, 3)]
[(2, 1), 'se deplace vers', (2, 3)]
[(2, 1), 'tire vers', (2, 3)]
[(1, 2), 'se deplace vers', (1, 3)]
[(1, 2), 'tire vers', (1, 0)]
[(2, 2), 'se deplace vers', (1, 2)]
[(2, 2), 'dribble vers', (1, 2)]
[(2, 2), 'tire vers', (2, 0)]
[(2, 2), 'tire vers', (2, 0)]
[(2, 2), 'tire vers', (2, 0)]
[(1, 2), 'se deplace vers', (1, 3)]
[(1, 2), 'tire vers', (1, 0)]
[(2, 1), 'se deplace vers', (2, 2)]
[(2, 1), 'se deplace vers', 'Balle']
[(2, 1), 'dribble vers', 'CageAdverse']
[(1, 2), 'se deplace vers', (1, 3), (1, 0), 0.5]
[(2, 1), 'se deplace vers', (2, 3)]
[(2, 1), 'tire vers', (2, 3)]
[(1, 0), 'dribble vers', 'CageAdverse']
[(1, 0), 'tire vers', 'CageAdverse']
[(2, 0), 'dribble vers', (1, 1)]
[(1, 3), 'se deplace vers', 'SaCage']
[(1, 3), 'tire vers', (1, 2)]
[(1, 3), 'tire vers', (1, 2)]
[(1, 3), 'tire vers', (1, 2)]
[(2, 1), 'se deplace vers', (2, 3)]
[(2, 1), 'se deplace vers', 'CageAdverse']
[(2, 1), 'dribble vers', 'CageAdverse']
[(1, 3), 'se deplace vers', 'SaCage']
[(1, 3), 'tire vers', (1, 0)]
[(2, 2), 'se deplace vers', (1, 3)]
[(2, 2), 'dribble vers', (1, 3)]
[(1, 3), 'se deplace vers', 'SaCage']
[(1, 3), 'tire vers', (1, 0)]
[(2, 1), 'se deplace vers', (2, 3)]
[(1, 0), 'dribble vers', 'CageAdverse']
[(2, 3), 'se deplace vers', 'SaCage']
[(1, 1), 'se deplace vers', (2, 3)]
[(1, 1), 'se deplace vers', 'SaCage']
[(1, 1), 'dribble vers', 'SaCage']
[(2, 0), 'dribble vers', (1, 2)]
[(2, 0), 'dribble vers', (1, 3)]
[(2, 0), 'dribble vers', 'CageAdverse']
[(2, 0), 'tire vers', 'CageAdverse']
[(1, 3), 'se deplace vers', 'SaCage']
[(1, 3), 'tire vers', (1, 1)]
[(2, 0), 'dribble vers', (1, 3)]
[(2, 0), 'dribble vers', 'CageAdverse']
[(2, 0), 'tire vers', 'CageAdverse']
[(1, 0), 'dribble vers', (2, 2)]
[(1, 0), 'tire vers', 'CageAdverse']
[(1, 0), 'tire vers', 'CageAdverse']
[(2, 1), 'se deplace vers', (2, 3)]
[(1, 0), 'dribble vers', (2, 3)]
[(1, 0), 'tire vers', 'CageAdverse']
[(2, 0), 'dribble vers', (1, 2)]
[(2, 0), 'tire vers', 'CageAdverse']
[(2, 0), 'tire vers', 'CageAdverse']
[(1, 1), 'se deplace vers', (2, 3)]
[(1, 1), 'se deplace vers', 'SaCage']
[(1, 1), 'tire vers', 'CageAdverse']
[(2, 3), 'se deplace vers', 'SaCage']
[(2, 3), 'tire vers', (2, 2)]
[(1, 1), 'se deplace vers', (2, 3)]
[(1, 1), 'se deplace vers', (1, 3)]
[(2, 0), 'dribble vers', (1, 3)]
[(2, 0), 'tire vers', 'CageAdverse']
[(1, 2), 'se deplace vers', (1, 3)]
[(2, 1), 'se deplace vers', (2, 3)]
[(2, 1), 'tire vers', (2, 2)]
[(2, 1), 'tire vers', (2, 2)]
[(1, 2), 'se deplace vers', (1, 3), (1, 0), 0.5]
[(1, 2), 'tire vers', (1, 0)]
[(1, 2), 'tire vers', 'CageAdverse']
[(2, 2), 'se deplace vers', (1, 3)]
[(2, 2), 'dribble vers', (1, 3)]
[(1, 3), 'tire vers', 'CageAdverse']
[(2, 1), 'se deplace vers', (1, 3)]
[(2, 1), 'tire vers', 'CageAdverse']
[(2, 1), 'dribble vers', (1, 3)]
[(2, 1), 'tire vers', 'CageAdverse']
[(1, 3), 'se deplace vers', (2, 2)]
[(2, 2), 'se deplace vers', (1, 2)]
[(2, 2), 'tire vers', 'CageAdverse']
[(1, 3), 'dribble vers', 'CageAdverse']
[(2, 1), 'se deplace vers', (1, 3)]
[(2, 1), 'dribble vers', 'CageAdverse']
[(2, 1), 'tire vers', 'CageAdverse']
[(1, 0), 'dribble vers', 'CageAdverse']
[(1, 0), 'tire vers', 'CageAdverse']
[(1, 0), 'tire vers', 'CageAdverse']
[(1, 0), 'dribble vers', 'CageAdverse']
[(1, 0), 'tire vers', 'CageAdverse']
[(2, 3), 'se deplace vers', (1, 0)]
[(2, 3), 'tire vers', 'CageAdverse']
[(1, 0), 'dribble vers', (2, 2)]
[(1, 0), 'tire vers', (2, 2), (2, 3), 0.4]
[(1, 0), 'tire vers', 'CageAdverse']
[(1, 0), 'dribble vers', 'CageAdverse']
[(2, 2), 'se deplace vers', (1, 2)]
[(2, 2), 'se deplace vers', (1, 1)]
[(2, 2), 'se deplace vers', 'BalleProchaine']
[(1, 2), 'se deplace vers', 'Balle']
[(1, 2), 'dribble vers', 'CageAdverse']
[(2, 1), 'se deplace vers', (1, 3)]
[(2, 1), 'dribble vers', (1, 3)]
[(2, 1), 'tire vers', 'CageAdverse']
[(1, 2), 'se deplace vers', 'CageAdverse']
[(1, 2), 'tire vers', 'CageAdverse']
[(1, 2), 'tire vers', 'CageAdverse']
[(1, 2), 'tire vers', 'CageAdverse']
[(2, 3), 'se deplace vers', (1, 2)]
[(2, 3), 'tire vers', 'CageAdverse']
[(1, 2), 'se deplace vers', (2, 3)]
[(1, 2), 'dribble vers', (2, 3)]
[(1, 2), 'se deplace vers', (2, 3)]
[(2, 3), 'se deplace vers', 'SaCage']
[(1, 1), 'se deplace vers', (2, 3)]
[(1, 1), 'dribble vers', (2, 3)]
[(1, 1), 'dribble vers', 'CageAdverse']
[(2, 2), 'se deplace vers', (1, 2), (2, 0), 0.5]
[(2, 2), 'tire vers', 'CageAdverse']
[(2, 2), 'dribble vers', 'CageAdverse']
[(2, 2), 'tire vers', 'CageAdverse']
[(2, 2), 'tire vers', 'CageAdverse']
[(2, 3), 'tire vers', (2, 0)]
[(2, 3), 'tire vers', (2, 0)]
[(1, 3), 'se deplace vers', (2, 2), (2, 3), 0.5]
[(1, 3), 'se deplace vers', (1, 1), (2, 1), 0.5]
[(1, 3), 'tire vers', (1, 1)]
[(1, 3), 'tire vers', (1, 1)]
[(1, 3), 'tire vers', (2, 3)]
[(2, 1), 'se deplace vers', (1, 3)]
[(2, 1), 'dribble vers', (1, 3)]
[(2, 1), 'tire vers', 'CageAdverse']
[(1, 0), 'dribble vers', (2, 3), (2, 1), 0.5]
[(1, 0), 'dribble vers', (2, 3), (2, 1), 0.5]
[(1, 0), 'tire vers', 'CageAdverse']
[(2, 1), 'dribble vers', (1, 3), (1, 2), 0.5]
[(2, 1), 'tire vers', 'CageAdverse']
[(2, 1), 'dribble vers', 'CageAdverse']
[(1, 1), 'dribble vers', (2, 2), 'CageAdverse', 0.9]
[(1, 1), 'dribble vers', (2, 2), 'CageAdverse', 0.1]
[(1, 1), 'dribble vers', 'CageAdverse']
[(1, 1), 'tire vers', 'CageAdverse']
